X,Y_Ori,94_Loclizer_deviation/dot,Y_hou,Y1,Y
14300.71738,-0.029864638,-0.0252,-0.036331676,0.011131676,0.011131676
14300.37094,-0.016769243,-0.0101,-0.020400539,0.010300539,0.010300539
14299.5417,-0.022247305,-0.0151,-0.027064848,0.011964848,0.011964848
14297.95723,-0.018225159,-0.0126,-0.022171726,0.009571726,0.009571726
14297.27838,-0.010189382,-0.0025,-0.012395842,0.009895842,0.009895842
14296.51402,0.002862051,0.0151,0.003481814,0.011618186,0.011618186
14296.29968,-0.022456779,-0.0176,-0.027319682,0.009719682,0.009719682
14296.0458,-0.004643965,0.005,-0.005649592,0.010649592,0.010649592
14295.34925,-0.01540998,-0.0101,-0.018746934,0.008646934,0.008646934
14293.61119,-0.029379932,-0.0252,-0.03574201,0.01054201,0.01054201
14292.73889,-0.010861546,-0.005,-0.01321356,0.00821356,0.00821356
14291.96988,-0.016408455,-0.0101,-0.019961624,0.009861624,0.009861624
14291.55568,-0.009985537,-0.0025,-0.012147855,0.009647855,0.009647855
14289.83956,-0.018362724,-0.0101,-0.02233908,0.01223908,0.01223908
14289.22478,-0.013575689,-0.0076,-0.016515437,0.008915437,0.008915437
14288.66768,-0.006665653,0,-0.008109067,0.008109067,0.008109067
14288.30231,0.008210614,0.0202,0.009988582,0.010211418,0.010211418
14286.56023,-0.009407716,0,-0.01144491,0.01144491,0.01144491
14285.06772,-0.035998922,-0.0328,-0.043794309,0.010994309,0.010994309
14284.23352,-0.008435693,0,-0.0102624,0.0102624,0.0102624
14282.79076,-0.014762439,-0.0076,-0.017959172,0.010359172,0.010359172
14281.9525,-0.008613213,-0.0025,-0.010478361,0.007978361,0.007978361
14280.10105,0.003892351,0.0126,0.00473522,0.00786478,0.00786478
14279.51193,-0.013694707,-0.005,-0.016660227,0.011660227,0.011660227
14277.48652,-0.005468769,0.0025,-0.006653004,0.009153004,0.009153004
14277.12761,-0.023602481,-0.0176,-0.028713481,0.011113481,0.011113481
14276.30427,-0.000646483,0.0101,-0.000786476,0.010886476,0.010886476
14275.2504,-0.020283049,-0.0126,-0.024675242,0.012075242,0.012075242
14273.47953,-0.013738604,-0.005,-0.01671363,0.01171363,0.01171363
14272.80631,-0.016629321,-0.0076,-0.020230318,0.012630318,0.012630318
14271.52112,0.045015701,0.0655,0.054763627,0.010736373,0.010736373
14271.19469,-0.018664336,-0.0101,-0.022706005,0.012606005,0.012606005
14270.08176,0.005694782,0.0151,0.006927959,0.008172041,0.008172041
14268.21473,-0.019394076,-0.0151,-0.023593766,0.008493766,0.008493766
14266.83125,-0.014411105,-0.005,-0.017531758,0.012531758,0.012531758
14265.86187,-0.022531417,-0.0151,-0.027410483,0.012310483,0.012310483
14264.95181,-0.017775921,-0.0101,-0.021625208,0.011525208,0.011525208
14262.21847,-0.004696851,0.0025,-0.005713931,0.008213931,0.008213931
14261.24123,-0.00525913,0.005,-0.006397968,0.011397968,0.011397968
14260.10838,-0.015852341,-0.0076,-0.019285086,0.011685086,0.011685086
14259.17503,-0.002473401,0.005,-0.003009004,0.008009004,0.008009004
14257.6481,-0.01498477,-0.0101,-0.018229647,0.008129647,0.008129647
14256.7891,-0.00491774,0.0025,-0.005982652,0.008482652,0.008482652
14255.45236,-0.019722032,-0.0151,-0.02399274,0.00889274,0.00889274
14254.0267,-0.012272477,-0.005,-0.014930021,0.009930021,0.009930021
